"","y2_statefips","y2_countyfips","n2","Year"
"1078","21","173",1456,2005
"1079","21","175",385,2005
"1080","21","177",844,2005
"1081","21","179",1937,2005
"1082","21","181",314,2005
"1083","21","183",932,2005
"1084","21","185",4095,2005
"1085","21","187",619,2005
"1086","21","189",97,2005
"1087","21","191",740,2005
"1088","21","193",670,2005
"1089","21","195",1466,2005
"1090","21","197",583,2005
"1091","21","199",2088,2005
"1092","21","201",78,2005
"1093","21","203",540,2005
"1094","21","205",970,2005
"1095","21","207",589,2005
"1096","21","209",3001,2005
"1097","21","211",2459,2005
"1098","21","213",908,2005
"1099","21","215",1387,2005
"1100","21","217",1007,2005
